Performance on model slices for education:

               precision    recall        f1
10th           0.333333  0.166667  0.222222
11th           0.500000  0.545455  0.521739
12th           0.285714  0.400000  0.333333
1st-4th        1.000000  1.000000  1.000000
5th-6th        0.000000  0.000000  0.000000
7th-8th        0.285714  0.333333  0.307692
9th            0.500000  0.333333  0.400000
Assoc-acdm     0.567164  0.808511  0.666667
Assoc-voc      0.583333  0.666667  0.622222
Bachelors      0.708333  0.868889  0.780439
Doctorate      0.788732  0.982456  0.875000
HS-grad        0.520505  0.478261  0.498489
Masters        0.729008  0.922705  0.814499
Preschool      1.000000  1.000000  1.000000
Prof-school    0.810526  0.916667  0.860335
Some-college   0.609524  0.693141  0.648649
